,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist
0,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,audio_features,63WuQOXohQIxOxIFA2K7bR,spotify:track:63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/tracks/63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/audio-analysis/63WuQOXohQIxOxIFA2K7bR,148064,4,SUPERMODEL,Måneskin
1,0.504,0.895,6,-3.644,0,0.127,0.000996,8.73e-05,0.0725,0.891,179.0,audio_features,5KnfGl2RbGJzlmM3r0oLww,spotify:track:5KnfGl2RbGJzlmM3r0oLww,https://api.spotify.com/v1/tracks/5KnfGl2RbGJzlmM3r0oLww,https://api.spotify.com/v1/audio-analysis/5KnfGl2RbGJzlmM3r0oLww,169613,4,Diggin' It,Royal Republic
2,0.454,0.949,9,-3.014,1,0.0984,0.00983,0.0,0.33,0.323,129.965,audio_features,7ay7vDG9NyF2NTrH15jpPZ,spotify:track:7ay7vDG9NyF2NTrH15jpPZ,https://api.spotify.com/v1/tracks/7ay7vDG9NyF2NTrH15jpPZ,https://api.spotify.com/v1/audio-analysis/7ay7vDG9NyF2NTrH15jpPZ,215654,4,I Don't Know You,Thundermother
3,0.571,0.626,5,-6.929,0,0.0372,0.174,0.0017,0.111,0.523,97.191,audio_features,5jH6P7e6RUGZnFGTeq3pUe,spotify:track:5jH6P7e6RUGZnFGTeq3pUe,https://api.spotify.com/v1/tracks/5jH6P7e6RUGZnFGTeq3pUe,https://api.spotify.com/v1/audio-analysis/5jH6P7e6RUGZnFGTeq3pUe,211200,4,For the Love of Money,The Black Keys
4,0.463,0.729,2,-4.573,0,0.0469,0.0184,0.0,0.0699,0.244,151.927,audio_features,6QDS3BSyRGSaTUY4MhJUir,spotify:track:6QDS3BSyRGSaTUY4MhJUir,https://api.spotify.com/v1/tracks/6QDS3BSyRGSaTUY4MhJUir,https://api.spotify.com/v1/audio-analysis/6QDS3BSyRGSaTUY4MhJUir,174032,4,Out of My Head feat. Aaron Gillespie,Charlotte Sands
5,0.604,0.855,11,-3.862,0,0.0308,0.000417,0.0,0.552,0.527,90.0,audio_features,7oTImlbBuKpTLi8hokqYR1,spotify:track:7oTImlbBuKpTLi8hokqYR1,https://api.spotify.com/v1/tracks/7oTImlbBuKpTLi8hokqYR1,https://api.spotify.com/v1/audio-analysis/7oTImlbBuKpTLi8hokqYR1,185908,4,Iconic,Simple Plan
6,0.363,0.67,1,-6.652,0,0.0552,0.000582,0.548,0.317,0.198,150.15,audio_features,6Pif6RkFoYzLygdqktus4Q,spotify:track:6Pif6RkFoYzLygdqktus4Q,https://api.spotify.com/v1/tracks/6Pif6RkFoYzLygdqktus4Q,https://api.spotify.com/v1/audio-analysis/6Pif6RkFoYzLygdqktus4Q,360760,4,The Foundations of Decay,My Chemical Romance
7,0.526,0.986,11,-5.094,1,0.0893,0.000145,0.0132,0.111,0.293,136.063,audio_features,3nqpRRpUhwfo6BqibVqeuj,spotify:track:3nqpRRpUhwfo6BqibVqeuj,https://api.spotify.com/v1/tracks/3nqpRRpUhwfo6BqibVqeuj,https://api.spotify.com/v1/audio-analysis/3nqpRRpUhwfo6BqibVqeuj,267291,4,IOU,Five Finger Death Punch
8,0.578,0.948,0,-5.304,1,0.137,0.0208,0.000554,0.0746,0.392,88.568,audio_features,0rWIAbUoOL67JAHxxGRKx7,spotify:track:0rWIAbUoOL67JAHxxGRKx7,https://api.spotify.com/v1/tracks/0rWIAbUoOL67JAHxxGRKx7,https://api.spotify.com/v1/audio-analysis/0rWIAbUoOL67JAHxxGRKx7,161560,4,Puzzles,Nova Twins
9,0.434,0.921,7,-4.656,1,0.0679,0.000314,0.0,0.89,0.626,181.99,audio_features,3LcMLFApeU9uCT8VCWEVjr,spotify:track:3LcMLFApeU9uCT8VCWEVjr,https://api.spotify.com/v1/tracks/3LcMLFApeU9uCT8VCWEVjr,https://api.spotify.com/v1/audio-analysis/3LcMLFApeU9uCT8VCWEVjr,155919,4,Memories (with WILLOW),YUNGBLUD
10,0.591,0.602,2,-8.558,1,0.0411,0.0197,0.193,0.151,0.215,129.962,audio_features,4rSKCUixAzn9gVnoYOw9Qw,spotify:track:4rSKCUixAzn9gVnoYOw9Qw,https://api.spotify.com/v1/tracks/4rSKCUixAzn9gVnoYOw9Qw,https://api.spotify.com/v1/audio-analysis/4rSKCUixAzn9gVnoYOw9Qw,290993,4,"I Think We're Past that Now (feat. Trent Reznor, Atticus Ross)",Antonio Sánchez
11,0.469,0.716,5,-4.449,1,0.033,0.0051,2.67e-06,0.104,0.234,172.694,audio_features,5tGVX0JhfjZc08cRK8Q6Dk,spotify:track:5tGVX0JhfjZc08cRK8Q6Dk,https://api.spotify.com/v1/tracks/5tGVX0JhfjZc08cRK8Q6Dk,https://api.spotify.com/v1/audio-analysis/5tGVX0JhfjZc08cRK8Q6Dk,165552,3,ADHD,Two Feet
12,0.425,0.976,8,-4.603,0,0.0547,0.00602,0.0,0.316,0.79,134.199,audio_features,5i4XWysSK1JOrmMKqsj9Jk,spotify:track:5i4XWysSK1JOrmMKqsj9Jk,https://api.spotify.com/v1/tracks/5i4XWysSK1JOrmMKqsj9Jk,https://api.spotify.com/v1/audio-analysis/5i4XWysSK1JOrmMKqsj9Jk,289413,4,Circus,The Hellacopters
13,0.441,0.968,2,-3.272,1,0.0633,0.000178,0.00061,0.215,0.695,167.983,audio_features,20d0ZmZyykqBQ7gYbzVHxI,spotify:track:20d0ZmZyykqBQ7gYbzVHxI,https://api.spotify.com/v1/tracks/20d0ZmZyykqBQ7gYbzVHxI,https://api.spotify.com/v1/audio-analysis/20d0ZmZyykqBQ7gYbzVHxI,204187,4,Good Day to Remember,Fury In The Slaughterhouse
14,0.58,0.841,5,-5.274,0,0.032,0.000318,0.0077,0.344,0.85,97.0,audio_features,5VDiBRQ6k1RW7H6HGcyme8,spotify:track:5VDiBRQ6k1RW7H6HGcyme8,https://api.spotify.com/v1/tracks/5VDiBRQ6k1RW7H6HGcyme8,https://api.spotify.com/v1/audio-analysis/5VDiBRQ6k1RW7H6HGcyme8,212621,4,Like A Drug,BRKN LOVE
15,0.363,0.944,11,-2.59,1,0.0387,3.25e-05,0.0,0.368,0.696,75.522,audio_features,2ixWIkrBDvzuiJ2YmM8n76,spotify:track:2ixWIkrBDvzuiJ2YmM8n76,https://api.spotify.com/v1/tracks/2ixWIkrBDvzuiJ2YmM8n76,https://api.spotify.com/v1/audio-analysis/2ixWIkrBDvzuiJ2YmM8n76,186880,4,Melted Into Two,Dune Rats
16,0.512,0.911,6,-3.727,0,0.128,0.0153,0.0266,0.193,0.613,160.19,audio_features,57cpSE96L3Zz6LgIftPdC9,spotify:track:57cpSE96L3Zz6LgIftPdC9,https://api.spotify.com/v1/tracks/57cpSE96L3Zz6LgIftPdC9,https://api.spotify.com/v1/audio-analysis/57cpSE96L3Zz6LgIftPdC9,199733,4,Troglodyte,Viagra Boys
17,0.676,0.742,3,-5.094,0,0.0445,0.00572,0.0,0.0614,0.866,124.965,audio_features,2vSbdtapUMqlUhOEsIc5kF,spotify:track:2vSbdtapUMqlUhOEsIc5kF,https://api.spotify.com/v1/tracks/2vSbdtapUMqlUhOEsIc5kF,https://api.spotify.com/v1/audio-analysis/2vSbdtapUMqlUhOEsIc5kF,215360,4,Ship of Lies,Danko Jones
18,0.534,0.947,2,-7.147,1,0.0519,9.72e-06,0.063,0.185,0.673,149.104,audio_features,0L3TkNCKAwHCaYHxeYPuhp,spotify:track:0L3TkNCKAwHCaYHxeYPuhp,https://api.spotify.com/v1/tracks/0L3TkNCKAwHCaYHxeYPuhp,https://api.spotify.com/v1/audio-analysis/0L3TkNCKAwHCaYHxeYPuhp,267899,4,Shotgun Blues,Volbeat
19,0.587,0.888,7,-2.688,1,0.0507,0.0123,0.0,0.04,0.758,148.063,audio_features,01CUo2gjV0mBB5EBHOfxTB,spotify:track:01CUo2gjV0mBB5EBHOfxTB,https://api.spotify.com/v1/tracks/01CUo2gjV0mBB5EBHOfxTB,https://api.spotify.com/v1/audio-analysis/01CUo2gjV0mBB5EBHOfxTB,225745,4,End of Me (feat. Rivers Cuomo),Billy Talent
20,0.669,0.812,5,-5.384,0,0.0679,0.00121,0.00113,0.0732,0.399,130.012,audio_features,5hPxC9i9lj9pJwg7DK2MvC,spotify:track:5hPxC9i9lj9pJwg7DK2MvC,https://api.spotify.com/v1/tracks/5hPxC9i9lj9pJwg7DK2MvC,https://api.spotify.com/v1/audio-analysis/5hPxC9i9lj9pJwg7DK2MvC,244365,4,Zick Zack,Rammstein
