,Artists,Songs
0,Harry Styles,As It Was
1,Jack Harlow,First Class
2,Glass Animals,Heat Waves
3,Latto,Big Energy
4,Imagine Dragons X JID,Enemy
5,The Kid LAROI & Justin Bieber,Stay
6,Doja Cat,Woman
7,Justin Bieber,Ghost
8,Kodak Black,Super Gremlin
9,Lil Nas X,Thats What I Want
10,Ed Sheeran,Bad Habits
11,Ed Sheeran,Shivers
12,GAYLE,abcdefu
13,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
14,The Kid LAROI,Thousand Miles
15,The Weeknd & Ariana Grande,Save Your Tears
16,Post Malone & The Weeknd,One Right Now
17,Dua Lipa,Levitating
18,Doja Cat,Need To Know
19,Becky G X Karol G,MAMIII
20,Camila Cabello Featuring Ed Sheeran,Bam Bam
21,Lil Nas X & Jack Harlow,Industry Baby
22,Cody Johnson,'Til You Can't
23,Adele,Easy On Me
24,Lil Baby,In A Minute
25,Luke Combs,Doin' This
26,Morgan Wallen,Wasted On You
27,Walker Hayes,AA
28,Megan Thee Stallion,Plan B
29,Muni Long,Hrs And Hrs
30,Dove Cameron,Boyfriend
31,Megan Thee Stallion & Dua Lipa,Sweetest Pie
32,Jason Aldean,Trouble With A Heartbreak
33,Lil Baby,Right On
34,Olivia Rodrigo,Good 4 U
35,Karol G,Provenza
36,Em Beihold,Numb Little Bug
37,JNR CHOI & Sam Tompkins,To The Moon!
38,SZA,I Hate U
39,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno
40,Cole Swindell / Lainey Wilson,Never Say Never
41,Morgan Wallen,Don't Think Jesus
42,Doja Cat & The Weeknd,You Right
43,Lauren Spencer-Smith,Fingers Crossed
44,Walker Hayes,Fancy Like
45,Morgan Wallen,Sand In My Boots
46,Tate McRae,She's All I Wanna Be
47,Tiesto & Ava Max,The Motto
48,Lil Durk Featuring Gunna,What Happened To Virgil
49,Shawn Mendes,When You're Gone
50,Ed Sheeran Featuring Lil Baby,2step
51,"Dierks Bentley, BRELAND & HARDY",Beers On Me
52,Gunna & Future Featuring Young Thug,Pushin P
53,Tyga X Doja Cat,Freaky Deaky
54,Zach Bryan,Something In The Orange
55,Fireboy DML & Ed Sheeran,Peru
56,"Southside, Travis Scott & Future",Hold That Heat
57,Miranda Lambert,If I Was A Cowboy
58,Pusha T Featuring Lil Uzi Vert & Don Toliver,Scrape It Off
59,Lizzo,About Damn Time
60,Luke Combs,Tomorrow Me
61,Thomas Rhett,Slow Down Summer
62,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl
63,Charlie Puth,Light Switch
64,Sam Hunt,23
65,"Nardo Wick, Lil Baby & Future",Me Or Sum
66,Lil Durk Featuring Morgan Wallen,Broadway Girls
67,Lauren Spencer-Smith,Flowers
68,Summer Walker & SZA,No Love
69,ERNEST Featuring Morgan Wallen,Flower Shops
70,Jack Harlow,Nail Tech
71,HARDY,Give Heaven Some Hell
72,Doja Cat,Get Into It (Yuh)
73,Parmalee,Take My Name
74,Jessica Darrow,Surface Pressure
75,Pusha T Featuring JAY-Z & Pharrell Williams,Neck & Wrist
76,Russ Featuring Ktlyn,Handsomer
77,Pusha T Featuring Kanye West & Kid Cudi,Rock N Roll
78,Lil Durk,Ahhh Ha
79,Nicki Minaj X Lil Baby,Do We Have A Problem?
80,Pusha T Featuring Kanye West,Dreamin Of The Past
81,Maren Morris,Circles Around This Town
82,Scotty McCreery,Damn Strait
83,Anitta,Envolver
84,"Kay Flock, Cardi B, Dougie B & Bory300",Shake It
85,The Walters,I Love You So
86,Gucci Mane Featuring Lil Durk,Rumors
87,Russell Dickerson & Jake Scott,She Likes It
88,Lil Tjay,In My Head
89,Yahritza y Su Esencia,Soy El Unico
90,Kane Brown,Leave You Alone
91,The Weeknd,Out Of Time
92,Gunna,Banking On Me
93,Blake Shelton,Come Back As A Country Boy
94,Rauw Alejandro & Chencho Corleone,Desesperados
95,Imagine Dragons,Bones
96,Queen Naija & Big Sean,Hate Our Love
97,Lucky Daye,Over
98,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods
99,Pusha T,Brambleton
